"Tester","MachineName","iDracIP","IPv4IP","ini_Time","log_folder","Last_TC","Last_Step","Last_Program","Last_RunTime"
"104093","MG_W002","192.168.2.70","192.168.2.106","2024/2/19","\\MG_W002\c\testing_AI\logs\","","","",""
"110017","SIT5","192.168.2.175","192.168.2.111","2024/2/14","\\SIT5\c\testing_AI\logs\","","","",""
"104093","MG_W003","192.168.2.191","192.168.2.121","2024/2/14","\\MG_W003\c\testing_AI\logs\","","","",""
"107002","Pearl_RTX6000","192.168.2.131","192.168.2.124","2024/2/16","\\Pearl_RTX6000\c\testing_AI\logs\","","","",""
"M16","M-16","192.168.2.80","192.168.2.125","2024/2/16","\\M-16\c\testing_AI\logs\","","","",""
"110017","SIT8","192.168.2.73","192.168.2.129","2024/2/17","\\SIT8\c\testing_AI\logs\","","","",""
"111021","Win10_SSD_AMD_6300","192.168.2.74","192.168.2.133","2024/2/19","\\Win10_SSD_AMD_6300\c\testing_AI\logs\","","","",""
"107002","Win10_NV_T1000","192.168.2.50","192.168.2.141","2024/2/16","\\Win10_NV_T1000\c\testing_AI\logs\","","","",""
"213","Win10_AMD_W6400","192.168.2.30","192.168.2.173","2024/2/16","\\Win10_AMD_W6400\c\testing_AI\logs\","","","",""
"104093","Pearl_WB2601_UPG","192.168.2.108","192.168.2.177","2024/2/19","\\Pearl_WB2601_UPG\c\testing_AI\logs\","","","",""
"109088","Win11_AMD_W6400","192.168.2.128","192.168.2.178","2024/2/16","\\Win11_AMD_W6400\c\testing_AI\logs\","","","",""
"213","Mata_Win11_AMD_W7600","192.168.2.181","192.168.2.185","2024/2/14","\\Mata_Win11_AMD_W7600\c\testing_AI\logs\","","","",""
"111017","SIT2","192.168.2.112","192.168.2.192","2024/2/17","\\SIT2\c\testing_AI\logs\","","","",""
"111017","SIT7","192.168.2.59","192.168.2.42","2024/2/19","\\SIT7\c\testing_AI\logs\","","","",""
"110017","SIT3","192.168.2.39","192.168.2.56","2024/2/17","\\SIT3\c\testing_AI\logs\","","","",""
"110017","SIT1","192.168.2.119","192.168.2.60","2024/2/17","\\SIT1\c\testing_AI\logs\","","","",""
"Jason","SIT9","na","192.168.2.62","2024/2/14","\\SIT9\c\testing_AI\logs\","","","",""
"109034","M22","192.168.2.93","192.168.2.83","2024/2/14","\\M22\c\testing_AI\logs\","","","",""
